CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,CONSTRUCTION_AGE_BAND,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT
69,70,House,Semi-Detached,66,67,220,214,3.7,37,3.6,88,52,546,554,109,109,74,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,6,6,30,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, dual fuel (mineral and wood)",N/A,N/A,"Pitched, limited insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 30% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,England and Wales: 1967-1975,,
62,67,Flat,Detached,58,64,306,261,4.2,47.4,3.6,42,42,522,436,138,138,88.8,Single,Y,1st,Y,2,2305,100,double glazing installed before 2002,Normal,0,6,6,100,0,From main system,Good,Very Good,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,None,N/A,N/A,"Flat, limited insulation (assumed)",Poor,Poor,Community scheme with CHP,Good,Very Good,"Flat rate charging, programmer and TRVs",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,heated corridor,,2.4,0,N,natural,England and Wales: 1976-1982,,
70,75,House,Semi-Detached,69,74,247,212,2.4,41,2,54,32,375,352,110,93,58.17,Single,Y,NO DATA!,,,2106,100,"double glazing, unknown install date",Normal,0,4,4,30,0,From main system,Good,Good,"Solid, limited insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 30% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,0,N,natural,England and Wales: 1996-2002,,
78,78,Flat,Detached,80,80,144,144,1.6,25,1.6,59,59,270,270,102,102,62,Single,Y,Ground,N,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,78,0,From main system,Good,Good,"Solid, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"System built, as built, insulated (assumed)",Good,Good,None,N/A,N/A,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 78% of fixed outlets,Very Good,Very Good,mains gas (not community),0,unheated corridor,9,2.4,,N,natural,England and Wales: 2003-2006,,
59,80,Flat,Detached,71,71,334,333,1.7,50.3,1.7,17,19,174,127,237,90,33.82,Single,N,Ground,N,3,2602,0,INVALID!,Normal,0,2,2,100,0,"Electric immersion, standard tariff",Very Poor,Poor,"Solid, limited insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,(another dwelling above),N/A,N/A,"Room heaters, electric",Very Poor,Poor,Appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity - this is for backwards compatibility only and should not be used,0,heated corridor,,2.2,0,N,natural,England and Wales: 1996-2002,,
60,80,House,Semi-Detached,56,78,273,131,4.8,48,2.3,95,63,934,669,119,80,100,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,50,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, electric",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1950-1966,,
56,66,House,Semi-Detached,52,64,288,211,4.7,56,3.5,70,47,567,467,298,201,85.42,dual,Y,NODATA!,,,2107,50,double glazing installed before 2002,Normal,0,5,5,50,0,"From main system, no cylinderstat",Poor,Poor,"Solid, no insulation (assumed)",N/A,N/A,Partial double glazing,Poor,Poor,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.41,0,,natural,England and Wales: 1930-1949,8,4
67,75,House,Semi-Detached,64,74,273,200,3,45.2,2.1,43,33,427,349,145,105,65.3,Single,Y,NO DATA!,,,2104,100,double glazing installed during or after 2002,Normal,0,5,5,70,0,From main system,Average,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 250mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in 70% of fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,England and Wales: 1991-1995,,
75,82,Flat,Semi-Detached,73,81,226,160,1.9,37,1.3,41,27,259,230,141,90,50.92,Single,Y,1st,Y,2,2106,100,double glazing installed during or after 2002,Normal,0,2,2,50,0,From main system,Good,Good,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,unheated corridor,3.4,2.3,0,N,natural,England and Wales: 1983-1990,,
78,78,Flat,Detached,77,77,192,192,1.7,32,1.7,29,29,321,321,78,78,53.54,Single,Y,Ground,N,2,2106,100,double glazing installed before 2002,Normal,0,2,2,100,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,unheated corridor,8.1,2.32,0,N,natural,England and Wales: 1976-1982,,
49,57,House,Semi-Detached,44,50,410,351,5.6,68.6,4.8,74,37,696,625,90,78,81.74,Single,Y,NO DATA!,,,2107,100,"double glazing, unknown install date",Normal,0,5,5,0,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,None,N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Poor,Poor,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.58,0,N,natural,England and Wales: 1950-1966,,
55,70,House,Mid-Terrace,48,65,422,274,4.1,70.6,2.7,43,26,535,364,74,66,65.4,Single,Y,NO DATA!,,,2101,0,INVALID!,Normal,1,4,4,33,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,None,N/A,N/A,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,No time or thermostatic control of room temp,Very Poor,Very Poor,Low energy lighting in 33% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.7,0,N,natural,England and Wales: before 1900,,
55,81,House,Semi-Detached,45,75,310,129,8.9,55,3.7,127,84,1699,879,96,96,162,Single,Y,NODATA!,,,2106,0,not defined,Normal,0,7,7,45,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,None,N/A,N/A,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 45% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,3,,N,natural,England and Wales: 1900-1929,,
44,72,House,Semi-Detached,39,67,442,221,6.7,74,3.4,83,41,824,429,104,82,108.9,Single,Y,NO DATA!,,,2102,100,double glazing installed before 2002,Normal,1,5,5,0,1,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,None,N/A,N/A,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,0,N,natural,England and Wales: 1976-1982,,
67,86,Bungalow,End-Terrace,65,85,271,113,2.7,48,1.2,62,40,478,425,110,59,56,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,44,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 44% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1983-1990,,
69,81,House,Semi-Detached,68,79,197,125,3.3,34,2.1,85,62,624,628,119,80,96,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,5,5,62,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 62% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1950-1966,,
72,73,House,Semi-Detached,71,72,199,194,2.8,32.7,2.7,68,43,447,452,95,95,84.96,Single,Y,NO DATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,40,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 250mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.39,0,N,natural,England and Wales: 1930-1949,,
73,75,House,End-Terrace,71,72,231,221,2.3,38,2.2,57,29,267,271,96,96,68.9,Single,N,NO DATA!,,,2104,100,double glazing installed before 2002,Normal,0,4,4,0,0,From main system,Good,Good,"Solid, limited insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Poor,Poor,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.35,0,N,natural,England and Wales: 1996-2002,,
67,74,House,Semi-Detached,62,70,240,190,4.3,40,3.4,104,58,654,536,112,112,108.37,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,2,6,6,20,0,From main system,Very Good,Very Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Flat, insulated (assumed)",Average,Average,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 20% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.36,0,N,natural,England and Wales: 1967-1975,,
79,82,Flat,Detached,78,80,165,154,1.8,27,1.7,75,38,270,276,92,92,64.7,Single,Y,1st,Y,2,2104,100,double glazing installed during or after 2002,Normal,0,3,3,0,0,From main system,Very Good,Very Good,"To external air, insulated",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 300+  mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Very Good,Very Good,Programmer and room thermostat,Average,Average,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,no corridor,,2.3,0,N,natural,England and Wales: 2007 onwards,,
66,83,Bungalow,End-Terrace,68,84,291,133,2,51,1,34,34,425,425,83,52,40,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,2,2,83,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 83% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1976-1982,,
58,71,House,Semi-Detached,53,70,272,171,4.9,53,3,63,49,686,491,218,112,92.56,Single,Y,NODATA!,,,2102,100,double glazing installed before 2002,Normal,1,6,6,73,0,"From main system, no cylinder thermostat",Poor,Poor,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 73% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.47,0,,natural,England and Wales: 1930-1949,11,8
76,76,House,Mid-Terrace,73,73,206,206,2.2,34.4,2.2,30,30,329,329,77,77,63.48,Single,Y,NO DATA!,,,2106,100,"double glazing, unknown install date",Normal,1,4,4,100,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, mains gas",N/A,N/A,"Flat, insulated (assumed)",Average,Average,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.7,0,N,natural,England and Wales: 1900-1929,,
74,75,House,Mid-Terrace,70,70,294,291,1.9,49.3,1.8,28,19,310,312,68,68,37.6,Single,Y,NO DATA!,,,2601,100,double glazing installed before 2002,Normal,0,3,2,50,0,Gas multipoint,Average,Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 300+mm loft insulation",Very Good,Very Good,"Room heaters, mains gas",Average,Average,No thermostatic control of room temperature,Poor,Poor,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.39,0,N,natural,England and Wales: 1976-1982,,
77,78,Flat,End-Terrace,80,80,160,155,1.5,28,1.5,58,40,279,282,92,92,55,Single,Y,1st,Y,,2106,100,double glazing installed during or after 2002,Normal,0,2,2,57,0,From main system,Good,Good,(another dwelling below),NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 57% of fixed outlets,Good,Good,mains gas (not community),0,no corridor,,2.32,,N,natural,England and Wales: 1976-1982,,
96,98,Bungalow,Mid-Terrace,94,98,43,16,0.4,9,0.2,52,35,425,428,90,57,48,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,2,2,50,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1967-1975,,
42,73,House,Mid-Terrace,35,64,423,200,9,75,4.3,127,71,1697,1017,123,83,121,Single,Y,NODATA!,,,2102,100,"double glazing, unknown install date",Normal,2,6,6,20,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 20% of fixed outlets,Poor,Poor,mains gas (not community),0,NO DATA!,,2.92,,N,natural,England and Wales: 1900-1929,,
52,67,Flat,Mid-Terrace,48,66,352,222,4.4,68,2.8,36,36,596,460,230,93,64.721,Single,Y,Ground,Y,,2102,100,double glazing installed before 2002,Normal,1,3,3,100,0,"From main system, no cylinderstat",Poor,Poor,"To external air, uninsulated (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Flat, limited insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,no corridor,,2.417,0,,natural,England and Wales: 1967-1975,7,7
56,62,Flat,Detached,54,61,423,361,3.1,69.9,2.6,31,20,428,389,85,72,43.7,Single,Y,Ground,N,2,2104,100,double glazing installed during or after 2002,Normal,0,2,2,40,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"System built, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, electric",N/A,N/A,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,no corridor,,2.4,0,N,natural,England and Wales: 1967-1975,,
69,76,Flat,NO DATA!,71,80,219,156,2,42,1.4,45,30,271,244,150,92,46.9,Single,Y,1st,Y,,2103,100,double glazing installed before 2002,Normal,0,2,2,50,0,From main system,Average,Average,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Room thermostat only,Poor,Poor,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),0,no corridor,,2.4,0,,natural,England and Wales: 1996-2002,4,2
48,59,House,Mid-Terrace,41,51,462,362,5.4,77.4257334,4.2,53,35,830,674,108,90,69.1,Single,Y,NO DATA!,,,2102,83,double glazing installed before 2002,Normal,1,3,3,50,0,From main system,Good,Good,"Suspended, no insulation (assumed)",N/A,N/A,Mostly double glazing,Poor,Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.81,0,N,natural,England and Wales: 1900-1929,,
36,58,House,Semi-Detached,32,50,519,330,8.4,87,5.3,102,51,1167,821,259,138,96.48,Single,Y,NO DATA!,,,2102,100,"double glazing, unknown install date",Normal,1,5,5,0,0,"From main system, no cylinder thermostat",Poor,Average,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Average,Good,"Programmer, no room thermostat",Very Poor,Very Poor,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.52,0,N,natural,England and Wales: 1900-1929,,
70,72,House,Enclosed Mid-Terrace,70,72,192,175,2.6,37,2.4,39,39,448,417,93,81,71.02,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Solid brick, with internal insulation",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, insulated at rafters",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.8,0,,natural,England and Wales: 1900-1929,8,8
55,55,House,End-Terrace,55,55,324,324,3.4,62,3.4,32,32,650,650,72,72,55.595,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, electric",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.86,0,,natural,England and Wales: 1900-1929,7,7
34,54,House,End-Terrace,29,46,588,387,7.8,98.7,5.1,64,37,924,634,274,193,88.64,Single,Y,NO DATA!,,,2102,100,"double glazing, unknown install date",Normal,1,4,4,28,0,"From main system, no cylinderstat",Poor,Average,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,None,N/A,N/A,"Flat, limited insulation (assumed)",Poor,Poor,"Boiler and radiators, mains gas",Average,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 28% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.51,0,N,natural,England and Wales: 1930-1949,,
79,79,House,Detached,76,77,136,134,3.6,22.7,3.5,104,87,475,478,151,151,178.3,Single,Y,NO DATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,8,8,80,0,From main system,Very Good,Very Good,"Solid, insulated (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 200mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,England and Wales: 2003-2006,,
43,76,Flat,Semi-Detached,50,71,463,265,3.4,78,1.9,63,35,788,214,150,167,43,Single,N,Ground,N,,2603,100,double glazing installed before 2002,More Than Typical,0,3,3,0,0,Electric instantaneous at point of use,Very Poor,Poor,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,None,N/A,N/A,(another dwelling above),N/A,N/A,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,No low energy lighting,Very Poor,Very Poor,electricity (not community),0,unheated corridor,4.5,2.3,,N,natural,England and Wales: 1967-1975,,
78,82,Flat,Detached,75,80,187,153,2.1,31,1.7,49,38,345,286,99,99,66.4,Single,Y,1st,Y,2,2106,100,double glazing installed before 2002,Normal,0,3,3,70,0,From main system,Good,Good,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,None,N/A,N/A,"Pitched, 300+  mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 70% of fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,no corridor,,2.4,0,N,natural,England and Wales: 1976-1982,,
64,72,House,Mid-Terrace,63,71,278,214,3.2,46,2.4,36,36,574,439,89,89,68.99,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,5,5,100,0,From main system,Very Good,Very Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, electric",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.59,0,N,natural,England and Wales: 1930-1949,,
